               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12636,              0.1098,            0.029969,           0.0018281,             0.18367,           0.0015038,          0.00029822,             0.11869,            0.073132,             0.02881,              0.0937,              0.0007,              0.0007
                   1,             0.11747,            0.095818,            0.028567,           0.0047838,             0.40986,           0.0073734,           0.0014296,             0.11588,            0.054692,            0.027603,            0.086499,           0.0014985,           0.0014985
                   2,             0.11473,            0.096293,            0.026853,            0.024997,             0.22619,             0.01801,           0.0043068,             0.11462,             0.04967,             0.02791,            0.079295,           0.0022954,           0.0022954
                   3,             0.10494,            0.095305,            0.023886,            0.017397,             0.38776,            0.017638,            0.004061,             0.11092,            0.047743,             0.02814,            0.072091,           0.0030908,           0.0030908
                   4,            0.096089,            0.094158,            0.022066,            0.047326,            0.035714,            0.026677,           0.0061629,             0.10558,            0.043572,            0.026063,            0.064885,           0.0038846,           0.0038846
                   5,            0.091817,             0.10051,             0.01905,            0.077114,             0.19898,            0.072026,            0.016473,            0.087785,            0.048466,            0.021322,            0.057677,           0.0046767,           0.0046767
                   6,            0.084305,            0.093771,            0.017595,             0.05226,             0.39796,            0.052092,            0.014638,            0.082364,            0.050061,            0.021073,            0.050467,           0.0054673,           0.0054673
                   7,            0.081867,            0.090948,            0.015234,             0.58971,             0.15816,              0.1172,            0.040802,            0.076996,            0.051909,            0.017103,            0.043256,           0.0062563,           0.0062563
                   8,            0.079235,            0.086948,            0.012373,             0.62446,             0.17857,              0.1144,            0.034321,            0.077064,            0.041281,            0.017151,            0.036044,           0.0070438,           0.0070438
                   9,            0.077168,            0.081383,            0.013468,             0.63075,             0.23667,             0.12537,            0.046667,            0.074387,            0.040685,            0.016806,             0.02883,           0.0078296,           0.0078296
                  10,            0.074377,             0.08392,             0.01207,             0.63986,             0.29524,              0.1832,            0.055321,            0.076321,            0.037451,            0.014379,            0.021614,           0.0086139,           0.0086139
                  11,            0.075831,            0.076486,             0.01472,             0.61489,             0.19898,             0.12856,            0.039916,             0.07644,            0.038504,            0.014762,            0.014397,           0.0093965,           0.0093965
                  12,            0.075206,            0.078922,            0.013571,             0.64968,             0.35098,             0.21213,            0.077796,            0.066606,            0.032446,            0.013001,           0.0098812,           0.0098812,           0.0098812
                  13,            0.070028,            0.073059,            0.014885,             0.69308,             0.32143,             0.21727,            0.071749,            0.065567,            0.029304,            0.013218,           0.0098812,           0.0098812,           0.0098812
                  14,            0.066744,            0.074615,            0.011864,             0.73965,             0.30998,             0.31646,             0.13182,            0.069348,            0.031299,            0.014229,           0.0098713,           0.0098713,           0.0098713
                  15,            0.064389,            0.076763,            0.013948,             0.70943,             0.33464,             0.30123,              0.1402,            0.059305,            0.029778,            0.013542,           0.0098614,           0.0098614,           0.0098614
                  16,            0.063968,            0.073229,            0.011875,             0.73659,             0.35286,             0.32659,             0.13314,            0.060297,            0.031241,            0.013509,           0.0098515,           0.0098515,           0.0098515
                  17,            0.058666,            0.077055,            0.013774,             0.17953,             0.84014,             0.33815,             0.15583,            0.055334,            0.030848,            0.013571,           0.0098416,           0.0098416,           0.0098416
                  18,            0.060072,            0.071779,            0.016311,             0.17703,             0.79791,             0.28878,             0.12949,            0.056783,            0.030234,            0.013306,           0.0098317,           0.0098317,           0.0098317
                  19,            0.053504,            0.065388,            0.012971,             0.73327,             0.38818,             0.38144,             0.18535,            0.053257,            0.026974,             0.01331,           0.0098218,           0.0098218,           0.0098218
                  20,            0.059213,            0.071805,            0.012929,             0.20877,             0.89966,             0.44146,              0.1762,            0.054492,            0.025335,             0.01315,           0.0098119,           0.0098119,           0.0098119
                  21,            0.059201,            0.074981,            0.010524,              0.2886,             0.89456,             0.49461,              0.2761,            0.046459,            0.025295,             0.01301,            0.009802,            0.009802,            0.009802
                  22,            0.058778,            0.075949,            0.012412,             0.28648,             0.84184,             0.47012,             0.23727,            0.044985,            0.024519,            0.012826,           0.0097921,           0.0097921,           0.0097921
                  23,            0.053883,             0.07186,              0.0122,             0.28279,             0.86565,             0.47015,             0.23949,            0.049362,             0.02575,            0.012527,           0.0097822,           0.0097822,           0.0097822
                  24,            0.058873,            0.065799,            0.011138,              0.3661,             0.86054,              0.5365,             0.31082,            0.041281,            0.024663,            0.012259,           0.0097723,           0.0097723,           0.0097723
                  25,             0.05049,            0.061633,            0.010501,             0.34974,             0.81348,             0.50353,             0.20496,             0.05021,            0.026262,            0.012358,           0.0097624,           0.0097624,           0.0097624
                  26,            0.051818,            0.067393,            0.011105,             0.35467,             0.85034,             0.50518,             0.24003,            0.046739,             0.02722,            0.012273,           0.0097525,           0.0097525,           0.0097525
                  27,             0.05253,             0.06915,            0.010759,             0.26228,             0.88946,             0.45822,             0.21407,            0.050123,            0.025382,            0.012092,           0.0097426,           0.0097426,           0.0097426
                  28,            0.051821,            0.073959,            0.011943,             0.34797,             0.88946,             0.50305,             0.25112,            0.047497,            0.027376,            0.012027,           0.0097327,           0.0097327,           0.0097327
                  29,            0.045431,            0.066016,           0.0090599,             0.39553,             0.80782,             0.53586,              0.3064,            0.042505,            0.026278,            0.012004,           0.0097228,           0.0097228,           0.0097228
                  30,            0.051288,            0.063422,            0.010706,             0.35393,             0.84014,             0.52488,             0.28325,             0.04803,            0.025664,             0.01213,           0.0097129,           0.0097129,           0.0097129
                  31,            0.054429,             0.06634,            0.011946,             0.36526,             0.85034,              0.5516,             0.32577,            0.046516,            0.024066,            0.012093,            0.009703,            0.009703,            0.009703
                  32,             0.05065,            0.064867,            0.011113,             0.38939,             0.85034,             0.56786,             0.31567,            0.046311,            0.024584,               0.012,           0.0096931,           0.0096931,           0.0096931
                  33,            0.048902,            0.067297,            0.011437,             0.38679,             0.84014,             0.55845,             0.31463,            0.048785,            0.025391,            0.012291,           0.0096832,           0.0096832,           0.0096832
                  34,            0.047534,            0.064517,            0.010474,             0.36571,             0.83503,             0.51726,             0.32475,            0.047067,            0.026807,            0.012456,           0.0096733,           0.0096733,           0.0096733
                  35,             0.04937,            0.068892,            0.011811,             0.40717,             0.87925,             0.56067,             0.33713,            0.046523,            0.024648,            0.012454,           0.0096634,           0.0096634,           0.0096634
                  36,              0.0472,             0.06506,            0.012469,             0.39746,             0.85884,             0.55351,             0.33444,            0.045221,             0.02532,            0.012569,           0.0096535,           0.0096535,           0.0096535
                  37,            0.048503,            0.066647,            0.012201,             0.39156,             0.86335,             0.56119,              0.3382,            0.042468,            0.024361,            0.012502,           0.0096436,           0.0096436,           0.0096436
                  38,            0.043209,            0.053167,           0.0099735,             0.41192,             0.82993,             0.57899,              0.3383,            0.043883,            0.024933,            0.012373,           0.0096337,           0.0096337,           0.0096337
                  39,            0.045535,            0.068238,            0.010641,             0.38554,             0.93707,              0.5896,             0.36822,            0.040946,            0.022661,            0.012146,           0.0096238,           0.0096238,           0.0096238
                  40,             0.04969,              0.0669,            0.014164,             0.41519,             0.90306,             0.61938,             0.40208,            0.040538,            0.022448,            0.012322,           0.0096139,           0.0096139,           0.0096139
                  41,            0.043315,            0.063023,            0.012141,             0.41291,             0.96429,             0.59847,             0.37071,            0.042522,            0.023873,            0.012599,            0.009604,            0.009604,            0.009604
                  42,            0.046868,            0.067087,            0.014457,             0.41451,             0.95578,             0.58134,             0.36792,            0.039372,            0.025325,            0.012805,           0.0095941,           0.0095941,           0.0095941
                  43,            0.041455,            0.070895,            0.014991,             0.41686,             0.95578,             0.59853,             0.39933,             0.03797,            0.023227,            0.013009,           0.0095842,           0.0095842,           0.0095842
                  44,            0.042728,            0.063016,            0.010846,             0.41795,             0.96088,             0.56925,             0.37441,            0.037816,            0.023108,            0.013129,           0.0095743,           0.0095743,           0.0095743
                  45,            0.043986,            0.062963,            0.012706,             0.39054,             0.90816,             0.58052,             0.30217,            0.046234,            0.023835,            0.012973,           0.0095644,           0.0095644,           0.0095644
                  46,            0.045295,            0.064873,            0.010153,             0.39561,             0.93707,             0.56521,             0.33439,            0.041422,            0.022603,            0.012985,           0.0095545,           0.0095545,           0.0095545
                  47,            0.046798,            0.060483,            0.013227,             0.42386,             0.93707,             0.57421,             0.38528,            0.037561,            0.023952,             0.01287,           0.0095446,           0.0095446,           0.0095446
                  48,            0.043174,            0.061972,            0.015317,             0.42789,             0.93197,             0.58151,             0.33835,            0.037962,            0.023344,            0.012898,           0.0095347,           0.0095347,           0.0095347
                  49,            0.041434,            0.061862,            0.013195,             0.46443,             0.87415,             0.58039,             0.33387,            0.036675,            0.024428,             0.01261,           0.0095248,           0.0095248,           0.0095248
                  50,            0.042422,            0.064746,            0.010001,             0.43517,             0.88195,             0.58118,             0.35709,            0.036774,            0.023558,            0.012436,           0.0095149,           0.0095149,           0.0095149
                  51,            0.043286,            0.063719,            0.012897,             0.44969,             0.90816,               0.621,             0.40126,             0.03819,            0.023414,            0.012592,            0.009505,            0.009505,            0.009505
                  52,            0.048028,            0.063754,           0.0094408,             0.41172,             0.90306,             0.58446,             0.36448,            0.035953,            0.023405,            0.012872,           0.0094951,           0.0094951,           0.0094951
                  53,            0.044032,            0.054894,           0.0093602,             0.42203,             0.93707,             0.59593,             0.38238,             0.03624,            0.023159,            0.013011,           0.0094852,           0.0094852,           0.0094852
                  54,            0.042961,             0.06446,            0.011615,             0.43703,             0.95578,             0.60929,             0.39109,            0.035347,            0.023605,             0.01289,           0.0094753,           0.0094753,           0.0094753
                  55,            0.041785,            0.056289,            0.013847,             0.43023,             0.95083,              0.5983,             0.33023,            0.037922,            0.024567,            0.013208,           0.0094654,           0.0094654,           0.0094654
                  56,            0.040887,            0.061122,            0.012317,              0.4214,             0.97959,             0.63725,              0.3428,            0.037628,            0.024229,             0.01327,           0.0094555,           0.0094555,           0.0094555
                  57,            0.041127,            0.056359,            0.012079,             0.43257,             0.95068,             0.64417,             0.37873,            0.039071,            0.024901,             0.01319,           0.0094456,           0.0094456,           0.0094456
                  58,             0.04314,            0.061866,            0.011373,             0.40381,             0.92177,             0.64063,              0.3252,            0.041696,            0.024502,            0.012936,           0.0094357,           0.0094357,           0.0094357
                  59,            0.039848,            0.060673,            0.010477,             0.39911,             0.89796,             0.63141,              0.3299,            0.043049,            0.024125,            0.012933,           0.0094258,           0.0094258,           0.0094258
                  60,            0.042648,             0.06625,            0.010962,             0.42182,             0.92687,             0.62268,             0.38046,            0.039212,            0.021814,            0.013059,           0.0094159,           0.0094159,           0.0094159
                  61,            0.042331,            0.060997,            0.011259,             0.43448,             0.87379,             0.59401,             0.36458,            0.038612,            0.022589,            0.013328,            0.009406,            0.009406,            0.009406
                  62,            0.038534,            0.053698,            0.015409,             0.43549,             0.87245,             0.57948,             0.34132,            0.041619,            0.023828,            0.013524,           0.0093961,           0.0093961,           0.0093961
                  63,            0.042161,            0.060446,            0.010552,             0.43292,             0.89612,             0.57191,             0.38239,            0.037713,            0.022402,            0.013547,           0.0093862,           0.0093862,           0.0093862
                  64,            0.039661,            0.053369,           0.0097006,              0.4276,             0.89286,             0.56191,             0.34589,            0.038775,            0.023115,            0.014101,           0.0093763,           0.0093763,           0.0093763
                  65,            0.042367,            0.059292,           0.0086791,             0.41793,             0.95068,             0.57668,             0.36068,            0.039823,            0.024163,            0.014509,           0.0093664,           0.0093664,           0.0093664
                  66,            0.041428,            0.061507,            0.011242,             0.42897,             0.97959,             0.58605,             0.39359,            0.038942,            0.023238,            0.014318,           0.0093565,           0.0093565,           0.0093565
                  67,             0.04235,            0.056699,             0.01304,             0.44021,             0.97959,             0.61378,              0.4135,            0.035543,            0.021709,            0.014375,           0.0093466,           0.0093466,           0.0093466
                  68,            0.038207,            0.056406,            0.010096,             0.44417,             0.97959,                0.61,             0.40043,            0.037992,            0.023037,            0.013872,           0.0093367,           0.0093367,           0.0093367
                  69,            0.044467,            0.064791,             0.01228,             0.45902,             0.98469,             0.62011,             0.42175,            0.036852,            0.021956,            0.013218,           0.0093268,           0.0093268,           0.0093268
