               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12608,             0.10768,            0.028793,           0.0017063,             0.17857,           0.0012051,          0.00019333,             0.11797,            0.073135,            0.029562,              0.0937,              0.0007,              0.0007
                   1,             0.11913,             0.10203,            0.027775,           0.0028172,             0.22619,           0.0027649,           0.0005915,             0.11785,            0.050427,            0.027701,            0.086499,           0.0014985,           0.0014985
                   2,             0.10972,             0.10304,            0.025687,           0.0045497,             0.53401,            0.011056,           0.0023612,             0.11078,            0.046907,            0.025894,            0.079295,           0.0022954,           0.0022954
                   3,             0.10217,            0.091849,            0.022489,            0.030055,             0.45408,            0.041557,            0.007464,              0.1058,            0.041484,            0.025241,            0.072091,           0.0030908,           0.0030908
                   4,            0.093896,             0.10465,            0.020544,            0.052839,             0.15476,            0.029743,           0.0062206,            0.096936,            0.043368,            0.024396,            0.064885,           0.0038846,           0.0038846
                   5,            0.085315,            0.090485,            0.016798,            0.075657,             0.14796,            0.058855,              0.0156,            0.086677,            0.040445,            0.021321,            0.057677,           0.0046767,           0.0046767
                   6,             0.08248,            0.096119,            0.016401,            0.076448,              0.2483,            0.061573,            0.017198,            0.085571,            0.039903,            0.019908,            0.050467,           0.0054673,           0.0054673
                   7,              0.0814,            0.094576,            0.012839,             0.64863,             0.11735,             0.14395,            0.040947,            0.082074,            0.036855,            0.018538,            0.043256,           0.0062563,           0.0062563
                   8,            0.082117,            0.086053,            0.015741,             0.65259,             0.22449,             0.19299,            0.071819,            0.074834,             0.03444,            0.017186,            0.036044,           0.0070438,           0.0070438
                   9,            0.073687,            0.081064,            0.010414,             0.12735,             0.58844,             0.16388,            0.064305,            0.083324,            0.036463,            0.016727,             0.02883,           0.0078296,           0.0078296
                  10,            0.074731,            0.073383,             0.01669,             0.62555,             0.26516,             0.17663,            0.066845,            0.074276,            0.036156,            0.014831,            0.021614,           0.0086139,           0.0086139
