               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1166,             0.12042,            0.027243,           0.0030359,             0.42007,           0.0021916,          0.00036405,              0.1132,             0.07959,            0.026886,              0.0937,              0.0007,              0.0007
                   1,             0.10939,             0.12204,            0.026546,           0.0033038,             0.47279,           0.0033947,           0.0005717,             0.10681,            0.075874,             0.02612,            0.086499,           0.0014985,           0.0014985
                   2,             0.10587,             0.12175,            0.025812,           0.0026051,             0.38776,           0.0026976,          0.00048814,             0.10198,            0.073215,            0.025519,            0.079295,           0.0022954,           0.0022954
                   3,             0.10221,             0.10902,            0.024753,           0.0036001,             0.53061,           0.0082381,           0.0014073,            0.098488,            0.064653,            0.024863,            0.072091,           0.0030908,           0.0030908
                   4,            0.097358,             0.12453,             0.02426,            0.004201,             0.60034,           0.0059168,            0.001159,            0.094342,            0.060048,             0.02363,            0.064885,           0.0038846,           0.0038846
                   5,            0.093525,             0.11642,            0.023172,           0.0044437,             0.59524,            0.010233,           0.0020403,            0.090166,             0.06003,             0.02327,            0.057677,           0.0046767,           0.0046767
                   6,            0.094207,             0.12312,            0.023012,           0.0044038,             0.59524,            0.046389,           0.0085803,            0.087309,            0.059687,             0.02247,            0.050467,           0.0054673,           0.0054673
                   7,            0.091249,             0.12715,            0.021665,            0.011943,             0.23469,            0.029559,           0.0054788,            0.082231,            0.059306,            0.021339,            0.043256,           0.0062563,           0.0062563
                   8,            0.090286,             0.12474,             0.02196,             0.09036,             0.20748,            0.028434,           0.0070307,            0.080444,            0.070474,            0.019263,            0.036044,           0.0070438,           0.0070438
                   9,            0.085199,              0.1178,            0.018713,             0.12348,             0.16156,            0.081405,            0.021996,             0.08173,            0.080779,            0.019507,             0.02883,           0.0078296,           0.0078296
                  10,            0.085776,             0.10462,            0.019685,             0.56838,             0.14286,            0.058305,            0.017265,            0.078449,            0.078965,            0.019479,            0.021614,           0.0086139,           0.0086139
                  11,            0.083196,             0.11682,            0.015195,             0.59262,            0.076554,            0.067917,            0.021286,            0.073151,            0.074371,            0.017801,            0.014397,           0.0093965,           0.0093965
                  12,            0.077117,             0.11198,            0.014572,             0.64723,             0.16609,             0.14188,            0.039568,            0.069081,             0.11126,            0.017812,           0.0098812,           0.0098812,           0.0098812
