                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0006,                 3.3575,                 1.2003,                0.33035,                0.79252,                0.44583,                0.36642,                0.45583,                 3.4664,                0.89233,             0.00011669,             0.00011669,             0.00011669
                      1,                0.88115,                 1.3389,                  1.156,                 0.4294,                0.69388,                 0.5058,                 0.4144,                0.67949,                 2.8025,                0.99492,             0.00024955,             0.00024955,             0.00024955
                      2,                0.76977,                 1.0312,                 1.0426,                0.36784,                0.80272,                0.52626,                0.43311,                0.64388,                 2.4649,                0.99023,             0.00038189,             0.00038189,             0.00038189
                      3,                0.76324,                0.97708,                 1.0602,                0.50926,                 0.7585,                 0.5825,                 0.4027,                 0.8716,                 1.9185,                 1.1105,              0.0005137,              0.0005137,              0.0005137
                      4,                0.85968,                 1.0085,                 1.1099,                0.48118,                0.61395,                0.54967,                0.42731,                0.77243,                 1.8767,                 1.0676,             0.00064498,             0.00064498,             0.00064498
                      5,                 0.8503,                0.96102,                 1.1028,                0.29513,                0.35544,                0.26246,                 0.1681,                 1.3909,                 2.4934,                 1.4383,             0.00077573,             0.00077573,             0.00077573
                      6,                 0.8683,                0.98507,                 1.1011,                0.39081,                0.58503,                0.40384,                0.27479,                 1.2839,                 2.5812,                 1.4184,             0.00090596,             0.00090596,             0.00090596
                      7,                0.91803,                0.95011,                 1.1267,                0.33509,                0.43027,                0.34627,                0.20497,                 1.3801,                 2.6742,                 1.5915,              0.0010357,              0.0010357,              0.0010357
                      8,                0.92393,                0.96098,                 1.1284,                0.33061,                0.40816,                0.29987,                0.16312,                 1.8026,                 3.5779,                 2.1598,              0.0011648,              0.0011648,              0.0011648
                      9,                 0.9224,                 1.0134,                 1.1342,                0.24878,                0.58673,                0.26968,                0.14142,                 1.4632,                 13.049,                 1.6289,              0.0012935,              0.0012935,              0.0012935
                     10,                0.94793,                   1.01,                 1.1364,                0.39321,                0.42101,                0.37792,                 0.2067,                 1.4685,                  4.352,                 1.7251,              0.0014216,              0.0014216,              0.0014216
                     11,                0.95861,                0.99219,                 1.1448,                0.20319,                0.43027,                0.20394,                0.10681,                 1.4618,                 10.098,                 1.7163,              0.0015492,              0.0015492,              0.0015492
                     12,                0.89134,                0.98046,                  1.117,                0.12056,                0.65986,                 0.1439,                0.07136,                 1.8472,                 13.996,                 2.0839,              0.0016274,              0.0016274,              0.0016274
                     13,                0.90526,                0.96661,                 1.1388,                0.20708,                0.74072,                0.23458,                0.13409,                 1.6193,                 9.5054,                 1.7761,              0.0016274,              0.0016274,              0.0016274
                     14,                0.90954,                0.95504,                 1.1257,                0.19262,                0.59694,                0.21307,                0.08834,                 1.6622,                 26.404,                 2.3055,              0.0016241,              0.0016241,              0.0016241
                     15,                0.97131,                0.93563,                 1.1445,                0.28944,                0.67517,                0.33084,                0.19373,                  1.314,                 9.0953,                 1.9061,              0.0016208,              0.0016208,              0.0016208
                     16,                0.87855,                0.88895,                 1.0966,                0.36609,                0.61274,                0.43026,                0.28318,                 1.1909,                 2.0833,                 1.4469,              0.0016175,              0.0016175,              0.0016175
                     17,                 0.8974,                0.89686,                 1.1159,                0.82965,                0.30606,                0.34231,                0.22022,                 1.2152,                 2.3718,                 1.4515,              0.0016142,              0.0016142,              0.0016142
                     18,                0.84583,                0.89491,                 1.0936,                0.44308,                0.42517,                0.37906,                0.23539,                 1.1888,                 2.4149,                 1.5152,              0.0016109,              0.0016109,              0.0016109
                     19,                0.91248,                0.91333,                 1.1365,                0.35209,                0.47959,                0.38771,                0.26732,                 1.1592,                 2.1238,                 1.4274,              0.0016076,              0.0016076,              0.0016076
                     20,                0.90282,                0.93116,                 1.1196,                 0.4192,                0.54422,                0.44366,                0.31146,                  1.024,                 1.8824,                 1.2992,              0.0016043,              0.0016043,              0.0016043
                     21,                0.83132,                0.86401,                 1.0907,                0.41151,                0.46259,                0.43326,                0.31791,                 1.1204,                 1.7385,                 1.3673,               0.001601,               0.001601,               0.001601
